snippet,headline__main,year_mo,compound,negative,neutral,positive
The identity of a witness who had helped prosecutors in an organized crime case was subsequently disclosed in a civil lawsuit.,Charges Weighed for Lawyer Who Revealed Witness’s Name,201203,-0.6597,0.241,0.759,0
"The winning lottery numbers for March 5, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201203,0.5267,0,0.805,0.195
"The Long Island county voted to realign its police precinct houses, turning half into community policing centers and reducing its payroll by 100 officers.",Policing Cuts Pass in Nassau County,201203,0,0,1,0
"An artist’s modern-day rendering of an angel as a cathedral statue, with cellphone included, has dueling phone numbers.",A Dutch Angel’s Cellphone Number Is in Demand,201203,0,0,1,0
"Senate leaders are eager to avoid a freewheeling, unpredictable debate on Congressional ethics.",Senate to Choose an Insider Trading Bill,201203,0.2023,0.145,0.592,0.263
"In 1973, Mr. Montrose formed the band Montrose, whose first album was a sleeper success, eventually going platinum and becoming a minor landmark of heavy metal.","Ronnie Montrose, Hard-Rock Guitarist, Dies at 64",201203,0.6124,0,0.815,0.185
"By making a racist joke about the president, the chief federal judge of Montana forfeited the balance and impartiality essential for his job. He should resign.",Judge Cebull’s Racist ‘Joke’,201203,-0.6369,0.209,0.719,0.072
Knicks center Tyson Chandler is coping with multiple injuries to his left hand and wrist and will probably be playing through pain for the rest of the season.,Chandler Says He’ll Tape Up and Play On,201203,0.1779,0.099,0.751,0.15
"Mr. McQuarrie transformed George Lucas’s rudimentary concepts and earliest scripts into lush, vivid images that became the visual core of the “Star Wars” saga.","Ralph McQuarrie, Artist Who Helped Bring ‘Star Wars’ to Life, Dies at 82",201203,0,0,1,0
A Supreme Court ruling limits the right of suspects to remain silent by redefining “custody.”,A Weakened Miranda Rule,201203,0.296,0.133,0.667,0.2
"Barbara Corcoran is founder of the Corcoran Group and now a consultant, as well as a regular on ABC’s “Shark Tank.” She once found herself in Syracuse, after bolting to the wrong gate.","Making the Flight, Missing the Airport",201203,-0.25,0.091,0.848,0.061
The report suggested that as many as 27 percent of the 37 million borrowers have past-due balances of 30 days or more.,Fed Study of Student Debt Outlines a Growing Burden,201203,0,0,1,0
"All targets that NATO hit during the bombing of Libya were legitimate military sites, the alliance said Monday, despite the findings of a United Nations panel.",Libya: NATO Defends Bomb Raids,201203,0.4215,0,0.896,0.104
A triple-tiered board with historical status is likely to remain even as an amphitheater is built atop a pool in Queens that it has long stood above.,Diving Board Is Set to Begin a Second Career in the Theater,201203,0,0,1,0
A small but growing number of private colleges are freezing tuition and rethinking policies that have driven up prices to unsustainable levels.,Welcome Trend in College Tuition,201203,0.2263,0.069,0.779,0.152
Polish prosecutors plan to charge a railway signal controller for unintentionally causing a head-on collision between two trains that killed 16 people on Saturday.,Poland: Rail Worker to Be Charged in Crash,201203,-0.7906,0.259,0.741,0
"In the Eastern District of New York, for example, individual judges’ median drug sentences varied from 12 to 64 months.",Wide Sentencing Disparity Found Among U.S. Judges,201203,0.0516,0,0.941,0.059
"More than two full months into the presidential nominating season, Rick Santorum’s campaign still has little of the slickness that many presidential campaigns exhibit by this time in the process.",Santorum Sticks to a Bare-Bones Style,201203,0,0,1,0
"The next inevitable phase of the Jeremy Lin story is under way, in which the Knicks point guard makes the critical adjustment from instant celebrity to enduring basketball star.",Lin’s Star Turn Demands Learning in the Spotlight,201203,-0.3182,0.076,0.924,0
"Militants again blew up a Sinai Peninsula gas pipeline that carries fuel to neighboring Israel and Jordan, Egyptian security officials said Monday.",Egypt: Sinai Gas Line Attacked,201203,0.34,0,0.893,0.107
"Enrique Peña Nieto of the Institutional Revolutionary Party holds a commanding lead over his nearest rival four months ahead of presidential elections, a poll showed on Monday.",Mexico: Opposition Leads in Poll,201203,0.4019,0,0.899,0.101
Some students expressed disappointment that the president will be speaking at the sibling school of his alma mater.,"After Barnard Gets Obama for Speech, Tensions With Columbia Bubble Up",201203,-0.5106,0.163,0.837,0
The populist Geert Wilders called Monday for a national referendum on abandoning the euro and reintroducing the guilder.,Netherlands: Call to Replace Euro,201203,-0.3818,0.14,0.86,0
"Virgin Mobile, aiming its ads and prepaid cellphones at young adults, wants people to actually like their cellphone company.",A Friendlier Cellphone Brand,201203,0.3612,0,0.878,0.122
"Leaders in Cyrenaica Province will begin a push for regional autonomy on Tuesday, posing a new challenge to the country’s fragile cohesion.",Libya: Autonomy Push in Cyrenaica Province,201203,0.0772,0,0.936,0.064
"With the major airlines issuing a policy statement, it’s time for their customers to publish some guidelines for the carriers.","Airlines Have a Manifesto, and Travelers Should, Too",201203,0,0,1,0
"After government inquiries and health complaints, the maker of Brazilian Blowout agreed to warn consumers that its product emits formaldehyde gas.",Maker of a Hair-Straightening Product Settles Lawsuit,201203,-0.25,0.169,0.744,0.087
An Indian court ordered on Monday that two Italian marines who were accused of killing two Indian fishermen last month be moved to a jail from a guest house while officials investigate.,India: Italians Jailed in Two Deaths,201203,-0.765,0.191,0.809,0
"Ford added touch-screen controls ahead of its competitors, but the flaws hurt its reputation and its rating from Consumer Reports.","After Ratings Drop, Ford Reworks Touch Screens",201203,-0.6808,0.195,0.805,0
"President Obama has decided to meet his G-8 counterparts nearby at Camp David, though a NATO meeting will still be held in Chicago.","Camp David, Not Chicago, to Host G-8",201203,0,0,1,0
"One voting precinct had a turnout of 107 percent, with just one person opting for a candidate other than Prime Minister Vladimir V. Putin.","At Chechnya Polling Station, Votes for Putin Exceed the Rolls",201203,0,0,1,0
"A senior commander was dismissed for initiating peace talks with the Pakistani government, provoking anger in the militants’ ranks.",Leadership Rift Emerges in Pakistani Taliban,201203,-0.25,0.229,0.625,0.146
Myanmar is inching toward reform. But don’t eliminate sanctions just yet.,Keep Up the Pressure on Myanmar’s Generals,201203,0,0,1,0
The jurors in the trial of R. Allen Stanford have been unable to reach a unanimous verdict on 14 counts of financial fraud after four days.,Jurors Told to Keep Talking in Financier’s Fraud Trial,201203,-0.4767,0.133,0.772,0.095
"In a speech, Attorney General Eric H. Holder Jr. said that, in certain situations, an American citizen thought to be planning attacks on the nation could lawfully be killed.","U.S. Law May Allow Killings, Holder Says",201203,-0.743,0.214,0.725,0.061
"Mitt Romney was the apparent winner in Ohio, but the closeness of race displayed the state’s deeply divided political passions.",Ohio’s Divided Political Passions on Display in Vote,201203,0.7961,0,0.717,0.283
"With what appeared to be only a slim victory in Ohio, the most coveted primary of Super Tuesday, Mitt Romney must decide what is needed to repair his candidacy.","With No Knockout Punch, a Bruising Battle Plods On",201203,0.5994,0,0.874,0.126
"Corrections appearing in print on March 7, 2012.",Corrections: March 7,201203,0,0,1,0
The I.R.S. plans to press political action committees like American Crossroads and Priorities USA to justify their tax-protected status as “social welfare” organizations.,Scrutiny of Political Nonprofits Sets Off Claim of Harassment,201203,0.3612,0,0.898,0.102
"Teeng Akol scored 23 points, and Western Kentucky rallied for a 74-70 win over North Texas in the championship game of the Sun Belt conference tournament.",Western Kentucky Earns Bid,201203,0.7717,0,0.774,0.226
"Tyson Chandler got his championship ring, Amar’e Stoudemire found his stride and the Knicks staged a fourth-quarter rally, but the night ended with another loss and concerns about Carmelo Anthony.",Good Feelings Flee Knicks Against Resilient Mavs,201203,-0.25,0.092,0.846,0.061
The movement of the 15 men from Djibouti to the Seychelles was a welcome development for the United States in a high-profile case with no clear legal resolution.,Somali Suspects in Hijacking of Iranian Ship Face Piracy Trial in Seychelles,201203,0.7717,0.066,0.634,0.299
"Concerned about Idaho’s high skin cancer rate, state lawmakers are considering legislation that would restrict tanning salon use among minors.","Big Sky, Bright Sun and Melanoma",201203,-0.7906,0.28,0.72,0
Arizona’s extremist immigration law lost another round in federal court when the judge blocked another provision that makes it a crime for day laborers to look for work on the street.,"Striking Down a Bad Law, Piece by Piece",201203,-0.7845,0.226,0.774,0
A new study on whether access to computerized patient records lowers medical costs is an important cautionary note to the federal government.,Do Electronic Medical Records Save Money?,201203,0.0772,0.067,0.852,0.081
"Alejandro Valverde of Spain won the third stage of the Paris-Nice race in a sprint finish, while the British rider Bradley Wiggins kept his overall lead.",Stage 3 to Valverde,201203,0.5719,0,0.866,0.134
"Ryo Ishikawa, who has won nine times on the Japan Golf Tour, received a special invitation to the Masters for the second time.",Ryo Ishikawa to Play Masters,201203,0.7506,0,0.758,0.242
"The United States national team will face Italy in Houston on June 23, its only home international match this year.",U.S. Will Host Italy,201203,0.4215,0,0.872,0.128
"Members of the American Israel Public Affairs Committee on Tuesday held a record 530 meetings with lawmakers, whom they urged to support tougher measures against Iran’s nuclear program.",Pro-Israel Delegates Have Washington’s Ear on Iran,201203,0.5267,0,0.85,0.15
"Infielder Carlos Guillen, a three-time All-Star and veteran of 14 seasons, announced his retirement.",Carlos Guillen Retires,201203,0,0,1,0
"Three college stars who eventually became Knicks were named to the National Collegiate Basketball Hall of Fame: Patrick Ewing, Earl Monroe and Willis Reed.",Hall of Fame Chooses Former Knicks,201203,0.4404,0,0.888,0.112
"The Brazilian table tennis player Hugo Hoyama qualified for the Olympics a sixth time, equaling his country’s record.",Sixth Games for Brazilian,201203,0,0,1,0
The British government rejected advice from its Olympic team’s top doctor that athletes should not shake hands at the London Games to avoid germs that could make them sick.,Handshake Controversy in Britain,201203,-0.7566,0.244,0.664,0.092
"Lauren Best stepped in to coach the Nazareth girls basketball team after the death of Apache Paschall, who led the team to state and federation championships in 2011.",Assuming a Heavy Mantle in a Season of Sorrow,201203,0.5423,0.107,0.689,0.204
"Though White House officials have praised the legislation, which is expected to pass on Thursday, some House Democrats say that the act does too little.",Republicans to Push Bill in an Effort to Add Jobs,201203,0.4939,0,0.882,0.118
"One of the richest counties in America risks running out of money next month, in what one official called “the worst fiscal crisis in the history of the county.”",Suffolk County Cites Emergency in Finances,201203,-0.7845,0.266,0.646,0.088
"Despite its inexplicable late-season swoon, Seton Hall still has a chance of making the N.C.A.A. tournament.",Seton Hall Keeps Hopes by Routing Providence,201203,0.25,0,0.875,0.125
A look at the latest developments as the state awaits new Congressional and legislative district lines based on the 2010 census.,An Update on New York Redistricting,201203,0.0772,0,0.936,0.064
"The Empire State Pride Agenda, New York’s leading gay rights organization, abruptly dismissed its executive director, who played a central role in the legalization of same-sex marriage last year.","Gay Rights Group Fires Chief, Central in Marriage Fight",201203,0.5859,0,0.844,0.156
"A former ferry, which began leaking and listing off Newburgh over the weekend, had been eyed by the chef Jean-Georges Vongerichten as a possible lobster shack.","Before Ferry Swamped, Chef Had Idea for It",201203,0,0,1,0
"The Crimson, the Ivy League champion, will play in the N.C.A.A. tournament for the first time since 1946.","Penn Loses, Securing Title and Bid for Harvard",201203,0.743,0,0.717,0.283
"The Devils, who managed only 13 shots against the Rangers in their last meeting, scored 49 seconds into the game and had three goals in the third period.","Short on Effort and Offense, Rangers Learn Lesson Against the Devils",201203,-0.5719,0.121,0.879,0
"Mr. Sherman and his brother, Richard M. Sherman, wrote the scores for “Mary Poppins” and “Chitty Chitty Bang Bang,” and won two Academy Awards for their music.","Robert B. Sherman, a Songwriter for Disney and Others, Dies at 86",201203,0.7717,0,0.789,0.211
Tyson Chandler was presented with his 2011 championship ring before the Knicks faced his former Maverick teammates on Tuesday night in Dallas.,Reminder for Chandler Resonates With Knicks,201203,0.4404,0,0.879,0.121
The former governor’s supporters were lukewarm to his candidacy but voted for him in overwhelming numbers.,"‘He Should Be All Right,’ Massachusetts Voters Say of Their Ex-Governor",201203,0.2382,0,0.885,0.115
"Is it time to boycott Apple? Sweatshop opposition in the past offers limited hope, but consumer pressure has already led Apple to make some big changes.",Dividends Emerge in Pressing Apple Over Working Conditions in China,201203,-0.4497,0.198,0.737,0.065
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201203,0,0,1,0
"Phil Hughes arrived in spring training in much better shape than last year, knowing he had a lot to make up for.","In First Game, Fitter Hughes Finds Life in Fastball",201203,0.4404,0,0.873,0.127
Prosecutors used computer trails to show that Dharun Ravi was bothered by his roommate’s sexuality and that Tyler Clementi was aware of it.,Rutgers Student Saw Twitter Posts by Roommate About Spying,201203,-0.3182,0.095,0.905,0
"Brandon Nimmo, a minor league outfielder who was the Mets’ top selection in the amateur draft last year, spent Tuesday in the team’s big-league camp","With Eyes Open Wide, Teenager Gets a Look at the Major Leaguers",201203,0.2023,0,0.927,0.073
"Claude Giroux, Jakub Voracek, and Max Talbot scored in a 3-2 victory that began with Philadelphia retiring the former defenseman Mark Howe’s No. 2.",Flyers Stall Red Wings’ Chase for Conference Lead,201203,-0.2732,0.091,0.864,0.045
"A number of other Democrats may be possible contenders for the late Representative Donald M. Payne’s seat, including the Assembly speaker and Mr. Payne’s son.",Lawmaker’s Death May Bring Battle for Successor,201203,0.0772,0,0.947,0.053
"Lawmakers proposed the creation of the state’s 12th university and a $1 billion increase for primary and high schools, but the budget also cuts $300 million from universities and colleges.",Florida Higher Education May Face Big Budget Cuts,201203,-0.1531,0.087,0.813,0.1
"The region’s leaders want their own legislature, budget, police and courts, with Benghazi as their capital, but the federal government would control foreign policy, the army and the oil.",Eastern Libya Demands a Measure of Autonomy in a Loose National Federation,201203,0.0387,0,0.961,0.039
"The debate in the last few weeks, though, has often involved issues like contraception, or women in combat.",Voters Said the Economy Was Their Main Issue,201203,0.0258,0.115,0.766,0.12
"Mr. Ricciotti, 39, is the chief executive and a principal of Bond New York, an independent residential real estate brokerage. The company is involved in both rentals and sales.",Bruno Ricciotti,201203,0,0,1,0
"Police Commissioner Raymond W. Kelly met with some Muslim leaders on Tuesday, but others criticized his choice of whom to meet.",Police Leader’s Evolving Efforts to Defend Surveillance,201203,-0.5023,0.14,0.86,0
Distressing new federal data on the disciplinary treatment of black students adds urgency to investigations into the treatment of minority children.,The Wrong Approach to Discipline,201203,-0.4019,0.119,0.881,0
The lobbying group for seniors reported an overall rise in the cost of drugs in recent years despite a decrease in the price of generic drugs.,AARP Study Says Price of Popular Drugs Rose 26%,201203,-0.0772,0.051,0.949,0
"The Republican candidate has made appeals based on gas prices, the “elite” media and who can best represent conservatives.","Gingrich Takes Georgia, Keeping Campaign Alive With a Southern Strategy",201203,0.6369,0,0.811,0.189
"In a panel discussion on the Indian Point nuclear power plant north of New York City, Japanese relief workers spoke of often-useless preparation in the face of a catastrophe.","From Japan, Bearing Witness in Debate Over Indian Point",201203,-0.3182,0.135,0.769,0.095
"Self magazine plans to introduce an online game named for its Workout in the Park, an event the magazine has hosted for 19 years.","Taking a Page From the Web, Magazine Pitches a Social Game",201203,0,0,1,0
"Some restaurateurs say that the letter grades, which must be displayed in a prominent position, are handed out in unfair and inconsistent ways.",Bloomberg Defends Grading System Derided by Restaurateurs,201203,-0.2023,0.122,0.787,0.091
"A New York rabbi, Arthur Schneier, met with Alan Gross, an imprisoned American, in Havana on Tuesday and described him as upbeat but concerned about family members back home.",Cuba: Rabbi Visits American Prisoner,201203,-0.4678,0.135,0.865,0
"Kaleena Mosqueda-Lewis, the freshman guard from Anaheim Hills, Calif., came off the bench to score 19 points and lead Connecticut to the Big East title.","A Visitor in Own Building, UConn Puts Up Its Feet",201203,0,0,1,0
President Obama proposed new incentives for alternative-power vehicles and the infrastructure that supports them.,President Pushes to Add More Credits for Hybrids,201203,0.5859,0,0.714,0.286
"Corrections appearing in print on March 8, 2012.",Corrections: March 8,201203,0,0,1,0
Representative Jean Schmidt’s defeat in the Ohio primary was seen as a warning shot from the Campaign for Primary Accountability.,‘Super PAC’ Increasing Congress’s Sense of Insecurity,201203,-0.6597,0.241,0.759,0
Hospitals are expected to become larger through mergers to cope with lower reimbursements from Medicare and insurers.,"Hospital Groups Will Get Bigger, Moody’s Predicts",201203,-0.296,0.121,0.879,0
"Because of Purim, alternate-side street-cleaning regulations will be suspended in New York City on Thursday. Other regulations will remain in effect.",Parking Rules for Purim,201203,-0.4767,0.134,0.866,0
"Making it clear that he does not use marijuana, Mr. Robertson, an evangelist, said he supports legalization because the war on drugs has failed.",Pat Robertson Says Marijuana Use Should be Legal,201203,-0.4767,0.223,0.619,0.158
"Armenia backed out of this year’s Eurovision contest because it will be in the capital of Azerbaijan, Armenia’s adversary in a dispute over the separatist Nagorno-Karabakh region.",Armenians Are Shunning Song Contest in Azerbaijan,201203,-0.5267,0.157,0.804,0.038
A House of Commons committee unanimously called for legislation that would punish people linked to human rights abuses by denying them travel visas and freezing their financial assets.,Britain: Bill Aims at Human Rights Violators,201203,-0.8442,0.313,0.638,0.049
"Detroit, Michigan’s most populous city, is at risk of running out of money as early as next month.",Mayor of Ailing Detroit Resists Outside Takeover,201203,-0.2732,0.11,0.89,0
"Anders Behring Breivik was indicted Wednesday on terrorism and murder charges related to the killings of 77 people last July, but prosecutors said he would probably not go to prison.",Norway: Man Is Charged in Rampage,201203,-0.6594,0.258,0.649,0.092
A United Nations investigator castigated the Iranian government for what he called “a striking pattern of violations of fundamental human rights guaranteed under international law.”,Iran: U.N. Report Blasts Human Rights Offenses,201203,-0.1531,0.121,0.78,0.099
The Belgian rider Gianni Meersman timed his attack perfectly to win the fourth stage of the Paris-Nice race.,Belgian Wins Stage,201203,0.7096,0.119,0.575,0.307
Apoel Nicosia extended its improbable run in the Champions League after two saves by goalkeeper Dionisios Chiotis gave it a 4-3 penalty shootout victory over Lyon.,Cypriot Club Advances,201203,0.1027,0.102,0.782,0.116
"Mustafa Abdel-Jalil, head of the Transitional National Council, said he could not use force against tribal leaders who are moving toward semiautonomy for their oil-rich eastern region.",Libya: Leader Says Force Against Tribal Leaders Isn’t Possible,201203,0,0,1,0
"The Oakland Athletics reiterated that they hoped Major League Baseball would approve their plan to build a stadium in San Jose, Calif.",A’s Focused on San Jose,201203,0.3818,0,0.885,0.115
"Two bombs that exploded in swift succession killed 14 people on Wednesday near a crowded restaurant in Tal Afar, a major battleground between insurgents and United States forces in 2005.",Iraq: Deadly Bombs Strike in North,201203,-0.4215,0.197,0.628,0.175
An Egyptian court has overturned the death sentence of the only police officer convicted of killing protesters during the uprising that forced President Hosni Mubarak to step down last year.,Egypt: Court Overturns Death Sentence of Officer,201203,-0.9169,0.334,0.633,0.033
Mitt Romney’s campaign held a daylong strategy session in Boston to prepare for the next round of primaries and caucuses.,Romney Team Ponders How to Rise Above the Fray,201203,0,0,1,0
"Women serve as mayors in 6 percent of Mexico’s towns and cities. By contrast, women hold one in four seats in Congress.",City Hall Still a Reach for Women in Mexico,201203,0,0,1,0
"The Wildcats and the Orange are likely No. 1 seeds in the N.C.A.A. tournament, no matter what happens in their conference tournaments, Jeff Hathaway said.","Kentucky and Syracuse Have Little to Lose, Selection Chairman Says",201203,-0.5106,0.166,0.792,0.042
"Jordan Farmar hit a 3-pointer from the right wing with 0.2 of a second left and the Nets squandered an 18-point, second-half lead before beating the Los Angeles Clippers, 101-100.",Nets Edge Clippers on Farmar’s Last-Second 3-Pointer,201203,-0.4588,0.1,0.9,0
"Carmelo Anthony scored 27 points, his greatest output since Jan. 20, and dazzled in a furious fourth-quarter rally, only to have the Knicks get routed by the Spurs.","Knicks Fall in a Rout, Despite Anthony",201203,0.128,0.112,0.76,0.128
How much of each candidate’s contributions have been from small donations.,Candidate Support From Small Donors,201203,0,0,1,0
"The Lady Kingsmen of Nazareth, ranked No. 19 by USA Today, led by as much as 30 points in a victory over St. John the Baptist of Long Island.",Brooklyn School Coasts to State Quarterfinal Win,201203,-0.296,0.075,0.925,0
Pornographic film executives say that condom use reduces sales. Opinions differ on whether the multibillion-dollar industry will try to leave Los Angeles.,Law on Condoms Threatens Tie Between Sex Films and Their Home,201203,-0.0516,0.054,0.946,0
"The Cardinals used their trademark gritty defense to advance to the quarterfinals of the Big East tournament, where Louisville will play Marquette, the second seed.",Loss to Louisville Leaves Seton Hall in Jeopardy,201203,0.4404,0,0.855,0.145
The I.R.S. is asking Tea Party groups applying for nonprofit tax status to prove that they are “social welfare” organizations and not the political activists they obviously are.,The I.R.S. Does Its Job,201203,0.4019,0,0.909,0.091
"While a Supreme Court ruling clarified the proper standard for new counsel in capital cases, it is also a reminder that the horror of the death penalty continues.",Counsel in Death Penalty Cases,201203,-0.7906,0.293,0.608,0.099
Harvard’s success on the basketball court has added another dimension to the school’s Ivy League pedigree.,Harvard Encounters a Rare Subject,201203,0.5719,0,0.802,0.198
The oil spill settlement is further evidence that BP is willing to pay serious money to atone for its errors. Now BP has to meet its obligations to the environment.,Settlement for the Gulf,201203,-0.4767,0.159,0.841,0
"AMR, American Airlines’ parent, said it would freeze pension plans for everyone except its pilots.","At Airline, a Pensions Compromise",201203,0.0516,0,0.921,0.079
"In addition to those organized against members of specific cultural backgrounds, an Alabama law center also noted a rise in antigovernment groups.","Number of U.S. Hate Groups Is Rising, Report Says",201203,0,0,1,0
"To New Yorkers, the news that WNBC-TV would not renew the contract of Sue Simmons, a popular anchorwoman, felt like more than just another personnel change.","Station to Oust Anchor, Ending ‘Chuck and Sue’",201203,0.6486,0,0.813,0.187
"The police video of Dharun Ravi’s interrogation was made the night after his roommate at Rutgers University, Tyler Clementi, committed suicide.","In Video, Jury Hears Student Admit Posting on Roommate",201203,-0.5267,0.176,0.742,0.082
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201203,0,0,1,0
"Prosecutors in Brooklyn are investigating the death of a newborn who was said to have contracted herpes from oral suction, a popular practice in some Jewish communities.",Baby’s Death Renews Debate Over a Circumcision Ritual,201203,-0.2732,0.131,0.774,0.094
"Hovnanian Enterprises, the largest home builder in the state, benefited from new single-family home sales that beat analysts’ expectations.",Rising Demand Eases Loss for New Jersey Home Builder,201203,0,0,1,0
"Money is cheap for companies with good credit, and they are piling into the corporate bond market. But what is good for borrowers may not be so good for lenders.","In Bonds, Bull Market for Firms",201203,0.8834,0,0.697,0.303
"After years of swinging a hammer, Michael Bilello was elected as the leader of the city’s 25,000 unionized carpenters, and pledged to return democracy and integrity to a union in distress.",Laying Down His Hammer to Apply a Broom to a Troubled Union,201203,-0.2023,0.103,0.818,0.079
New York State legislation to extend financial aid to undocumented college students has drawn only cautious remarks from Gov. Andrew M. Cuomo and Republican lawmakers.,Cuomo and G.O.P. Quiet So Far on Tuition Aid for Illegal Immigrants,201203,0.0772,0.054,0.881,0.065
A look at the latest developments as the state awaits new Congressional and legislative district lines based on the 2010 census.,An Update on New York Redistricting,201203,0.0772,0,0.936,0.064
"Five construction workers are suing a longtime colleague, Americo Lopes, accusing him of cashing in a winning lottery ticket that belonged to all of them.","So You Won $38.5 Million? Not So Fast, Co-Workers Say",201203,0.1531,0.14,0.735,0.125
"Alex Morgan scored her first career hat trick and Abby Wambach added her 134th goal, leading the United States over Sweden, 4-0, in the third-place match of the Algarve Cup in Parchal, Portugal.",Morgan Leads U.S. Women,201203,0.3818,0.034,0.886,0.08
"Lionel Messi became the first player to score five goals in a Champions League match, helping defending champion Barcelona crush visiting Bayer Leverkusen, 7-1.",Messi’s Five Goals Lead Barcelona Into Quarterfinals,201203,0.836,0.053,0.631,0.316
A partnership would put the company closer to competing with channels like HBO.,Netflix Said to Be Aiming for a Cable Partnership,201203,0.3612,0,0.815,0.185
"The Orange are 30-1 and likely to receive a top seed in the N.C.A.A. tournament, but off the court, investigations and lawsuits are threatening to tarnish Jim Boeheim’s season.","At Syracuse, This Has Been Boeheim’s Best Season, and His Worst",201203,-0.7269,0.198,0.76,0.043
"The real obstacle to prosecuting excessive violence in sports may be our culture’s macho conception of athletes, who are expected to “man up” in the face of threats to their safety.",Give the Ref a Gavel,201203,-0.765,0.24,0.689,0.071
The Blackbirds won a rematch of last season’s championship game to earn another spot in the N.C.A.A. tournament field.,"To Spike Lee’s Cheers, L.I.U. Repeats Northeast Title",201203,0.765,0,0.708,0.292
"Mr. McMahon was an artist who defied journalism’s preference for photographs to make a renowned career of drawing historic scenes in elegant, emphatic lines.","Franklin McMahon, Who Drew the News, Dies at 90",201203,0.4767,0,0.876,0.124
"When a young Tiger Woods turned pro in 1996, he brought to the PGA Tour an attitude and an approach that forever altered the game.",Woods Taught Them Well,201203,0,0,1,0
"Some are questioning the involvement of European investors in the building of a $1.1 billion, earthquake-resistant link to the Golden Gate Bridge.",Controversy Tests Bold Freeway Project,201203,-0.1027,0.065,0.935,0
"California drivers are using a lot less gas than they did in 2005. Luckily the local oil industry has found new markets for its products, exporting them primarily to developing countries.",East Bay Oil Exports Have Become Huge Business,201203,0.5106,0,0.898,0.102
"After ordinances to encourage the creation of affordable housing were watered down, city leaders have been trying to develop new strategies.","In a City With Record Housing Prices, Nowhere to Go but Up",201203,0.6597,0,0.779,0.221
"Until now, Ellen Ullman, an author and former computer programmer, made technology a character in her books. But her new novel is set in San Francisco long before Silicon Valley emerged.","A Professor, a Thriller, Not a Microchip in Sight",201203,0.3182,0,0.927,0.073
"The battle over Congressional redistricting enters a new stage, with minority voters speaking up about maps that dilute their political power.",Now Latino and Black Voters Fight for Map Power in Redistricting,201203,-0.3818,0.12,0.88,0
A look at the latest developments as the state awaits new Congressional and legislative district lines based on the 2010 census.,An Update on New York Redistricting,201203,0.0772,0,0.936,0.064
"Our quirky, discerning picks for the most interesting things to do around the state this week.",GTT ★,201203,0.4576,0,0.834,0.166
"Mr. Ellis was the soulful lead singer of the Trammps, whose 1970s hit “Disco Inferno” was immortalized in the film “Saturday Night Fever.”",Jimmy Ellis Dies at 74; Lead Singer in Dance Band Trammps,201203,0,0,1,0
"Corrections appearing in print on March 9, 2012.",Corrections: March 9,201203,0,0,1,0
"The planned mass protest, which was called by activists to demand political reforms in the kingdom, never took place because of the heavy deployment of security forces.","Saudi Arabia: One Year After Planning a Protest, Six Suspects Remain in Jail, a Rights Group Says",201203,-0.0258,0.117,0.803,0.08
"Steve Sullivan scored the tying goal in the third period, and James Neal and Evgeni Malkin connected in the first two rounds of a shootout to lift the host Pittsburgh Penguins to their eighth straight victory.",8th Straight for Penguins,201203,0.2263,0,0.947,0.053
"Despite once believing his singular appearance would hinder an acting career, Mr. Cimino ended up spending more than 60 years as an in-demand character actor.",Leonardo Cimino Dies at 94; Distinctive Actor,201203,0,0,1,0
"Since Ethiopian troops crossed the border in November, they have captured Beledweyne and Baidoa from the Shabab rebels.",Somalia: Ethiopia to Withdraw Troops by End of April,201203,-0.2023,0.096,0.904,0
"Revelations that industrial salt, intended for deicing roads in winter, was sold to food producers have prompted a criminal investigation and the arrest of five people.",Poland: Tons of Food Recalled Over Contamination,201203,-0.7003,0.201,0.799,0
"Bowing out of the Peyton Manning sweepstakes, the Jets agreed in principle with Mark Sanchez on a new five-year contract that could be worth as much as $68.5 million.","With Extension to Sanchez, Jets Give Up on Manning",201203,0.4588,0,0.867,0.133
"Mr. Bergman was a founding member of the surrealist comedy troupe Firesign Theater, whose albums became cult favorites among college students in the late 1960s and ’70s.","Peter Bergman, Satirist With the Firesign Theater, Dies at 72",201203,0.6486,0,0.819,0.181
"The Rangers gave up a one-goal lead in the third period and Henrik Lundqvist, who entered the night as the N.H.L.’s save percentage leader, allowed four goals.",Rangers Sustain Third Loss in a Row,201203,0.4939,0,0.887,0.113
The Israeli prime minister said that distance and relative strength tended to make the United States view Tehran’s nuclear program differently than his country does.,Netanyahu Says U.S. and Israeli ‘Clocks’ Differ on Iran’s Threat,201203,0.7184,0,0.793,0.207
The double Olympic champion Rebecca Adlington will defend both her titles at this summer’s London Games after winning the 800 meters freestyle at the British swimming trials.,London Berths Secured,201203,0.8402,0,0.727,0.273
"Mitch Seavey was the first musher to reach Ruby, the first checkpoint on the Yukon River, in the Iditarod Trail Sled Dog Race.",Leaders Hit Checkpoint,201203,0.0258,0,0.952,0.048
"The American teenager Sarah Hendrickson won the final competition in the World Cup ski jumping season in Trondheim, Norway.",American Teenager Wins Ski Jump Finale,201203,0.5719,0,0.829,0.171
"The issue of affirmative action for Muslims surfaced in an election in Uttar Pradesh, with promises to Muslims of quotas like those for low-caste Hindus.",India Eyes Muslims Left Behind by Quota System,201203,0.6249,0,0.819,0.181
